feature,importance,importance_std
paid_sum_lag1,0.05327588688783511,0.0010291061735901738
paid_sum,0.05125238486055339,0.0006368778691804729
has_payment_diff1,0.03938208083028125,0.0008778839358109822
has_payment,0.023359884870726,0.0011971412612831773
has_payment_lag1,0.009100950651136497,0.00018800027703255
auto_renew_rate_lag1,0.0061859438459009874,0.0007095390865352352
cancel_txn_count_diff1,0.00451424538345937,0.000259987843531008
auto_renew_rate,0.0044216427970061424,0.00038633083772840053
total_secs_diff1,0.00252032084109175,0.000398037104223005
total_secs_lag1,0.0023082952901599895,0.0006188867305797121
num_unq,0.0017791535238988131,0.00029094249322544696
paid_sum_diff1,0.001411577880652004,0.00030765588946908725
num_unq_lag1,0.0013845725978057777,0.00044423921815628365
total_secs,0.0012438133770972248,9.059619937913761e-05
plays_total_lag1,0.001173290167425911,0.00020962358816871697
cancel_txn_count_lag1,0.0007899732947852289,0.0002891626391890119
auto_renew_rate_diff1,0.00045434435958437993,6.827994359163792e-05
plays_total,0.00043460506024117773,5.439488836598036e-05
plays_total_diff1,0.0003303459943928333,0.00012292763679121012
cancel_txn_count,0.00030648380961464385,4.723271005050452e-05
num_unq_diff1,0.0001976009876982321,0.00014230655798827457
has_usage,1.2918166179431978e-05,8.45696028431108e-06
has_usage_lag1,0.0,0.0
has_usage_diff1,0.0,0.0
