safra,cluster,rows,p_churn_mean,churn_rate,share
201606,0,31207,0.059088268189826515,0.060146761944435544,0.04621622862423527
201606,1,107027,0.15351153206840754,0.14413185457875116,0.15850239692908732
201606,2,59832,0.03691090506986998,0.04260262067121273,0.08860862598280017
201606,3,23436,0.0931335365940676,0.10475337088240314,0.034707710899400064
201606,4,140790,0.029177286250315928,0.06213509482207543,0.20850395193405594
201606,5,312947,0.01259576187867053,0.007010771792028682,0.4634610856304212
201607,0,37334,0.1543658759805649,0.047945572400492846,0.048756343652951575
201607,1,115209,0.13860016252149884,0.15159405949187998,0.1504572131545749
201607,2,58773,0.09042698110276043,0.02851649566978034,0.0767546093511256
201607,3,86948,0.5641375601982668,0.014387910015181488,0.11354975539553312
201607,4,142926,0.02726613381802998,0.015070735905293649,0.1866542340210467
201607,5,324536,0.012878837677779979,0.004039613478936081,0.4238278444247681
201608,0,38630,0.0635203190760286,0.07131762878591769,0.05010928571891843
201608,1,96053,0.14778204122773989,0.24510426535350274,0.12459609684595578
201608,2,60578,0.038109340210213005,0.045263957212189246,0.07857935051205386
201608,3,39487,0.2640947607667641,0.09712057132727227,0.05122095172619549
201608,4,162433,0.025155064376162946,0.04761347755690038,0.21070156891486091
201608,5,373734,0.012432682391101806,0.008158208779506279,0.4847927462820155
201609,0,31532,0.04642685822999527,0.07091208930610174,0.04063847199757705
201609,1,91509,0.1477686695276181,0.2924521085357724,0.11793688741679179
201609,2,72777,0.03154298498543332,0.03965538563007544,0.09379506775871069
201609,3,24759,0.09609882710868461,0.047780605032513426,0.031909423068248455
201609,4,165275,0.02665377741946529,0.02134624111329602,0.21300657932892134
201609,5,390063,0.012212222557649652,0.006288727718342935,0.5027135704297507
